,Wavelength,S2c,Wavelength.1,S2
0,1100,-4.60859885787964e-06,1100,-4.104e-06
1,1110,0.00015817426913166,1110,0.000143224
2,1120,0.000291766167053223,1120,0.000267776
3,1130,0.000413387129859924,1130,0.00038352
4,1140,0.000604257075801849,1140,0.000565216
5,1150,0.0009620596245594019,1150,0.000905392
6,1160,0.00131473937049961,1160,0.001241624
7,1170,0.00189274020803833,1170,0.001788096
8,1180,0.0023531253682403603,1180,0.002220592
9,1190,0.0029822990871849102,1190,0.0028079040000000004
10,1200,0.00398544039964676,1200,0.0037431999999999995
11,1210,0.005314939591864579,1210,0.004981208
12,1220,0.00691652815010548,1220,0.006472199999999999
13,1230,0.00904772738016414,1230,0.008454936
14,1240,0.0114124119075193,1240,0.010662903999999999
15,1250,0.0141402373431892,1250,0.013210143999999998
16,1260,0.017450470803606004,1260,0.016295511999999998
17,1270,0.0218807747852268,1270,0.020432112
18,1280,0.0274739098560381,1280,0.025658872000000003
19,1290,0.0340403389460449,1290,0.031978264
20,1300,0.0416815235335493,1300,0.03973244
21,1310,0.0523062815026855,1310,0.050834432
22,1320,0.0646902418872213,1320,0.064079688
23,1330,0.07618272,1330,0.07618272
24,1340,0.0963924810467148,1340,0.09532832
25,1350,0.11663202835207,1350,0.11216016
26,1360,0.132680990911789,1360,0.12345744
27,1370,0.1656551405373,1370,0.15065184
28,1380,0.18784948196076398,1380,0.16839272
29,1390,0.22783469649581897,1390,0.20281760000000001
30,1400,0.265157360770369,1400,0.23486759999999998
31,1410,0.31403329113250705,1410,0.27774544
32,1420,0.374806561615,1420,0.33032392
33,1430,0.45415387013721503,1430,0.3972152
34,1440,0.555670662028933,1440,0.47997448
35,1450,0.671685822036095,1450,0.57129432
36,1460,0.7933944733425521,1460,0.66351888
37,1470,0.915874256436329,1470,0.75099896
38,1480,24878.0266889787,1480,0.8685904347826088
39,1490,29115.4473372245,1490,0.9942165217391304
40,1500,34369.7144546509,1500,1.1483
